mssv,hocky,namhoc,dtbhk,sotchk,namkhoahoc,hk
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1,1,6.45,13,2016,1
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,2,1,5.86,17,2016,2
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1,2,6.54,16,2016,3
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,2,2,5.67,23,2016,4
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1,3,2.27,21,2016,5
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1,1,8.19,12,2016,1
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,2,1,7.95,13,2016,2
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,3,1,7.63,6,2016,3
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1,2,8.38,20,2016,3
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,2,2,8.41,20,2016,4
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1,3,8.0,17,2016,5
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1,1,4.73,17,2016,1
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,2,1,1.79,15,2016,2
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1,2,4.02,20,2016,3
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,2,2,3.89,20,2016,4
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,3,2,6.15,8,2016,5
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1,3,4.3,21,2016,5
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,1,1,7.44,17,2016,1
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,2,1,7.51,17,2016,2
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,1,3,7.24,17,2016,5
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1,1,6.89,17,2016,1
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,2,1,5.85,21,2016,2
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1,2,7.3,23,2016,3
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,2,2,6.86,19,2016,4
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1,3,7.55,18,2016,5
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,1,7.86,19,2016,1
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,2,1,6.76,19,2016,2
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,2,7.62,24,2016,3
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,2,2,7.25,19,2016,4
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,3,5.95,19,2016,5
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,1,7.18,19,2016,1
