label,HK1_drl,HK2_drl,HK3_drl,HK4_drl,HK5_drl,HK6_drl,HK7_drl,HK8_drl,HK9_drl,HK10_drl,HK11_drl,HK12_drl,HK1_dtbhk,HK2_dtbhk,HK3_dtbhk,HK4_dtbhk,HK5_dtbhk,HK6_dtbhk,HK7_dtbhk,HK8_dtbhk,HK9_dtbhk,HK10_dtbhk,HK11_dtbhk,HK12_dtbhk,HK1_sotchk,HK2_sotchk,HK3_sotchk,HK4_sotchk,HK5_sotchk,HK6_sotchk,HK7_sotchk,HK8_sotchk,HK9_sotchk,HK10_sotchk,HK11_sotchk,HK12_sotchk,pass_avsc,CCHV_1,CCHV_2,CCHV_3,CCHV_4,CCHV_5,CCHV_6
0,81.0,86.0,79.0,67.0,83.0,68.0,64.0,,,,,,5.42,4.32,6.87,5.79,6.775,5.75,5.97,,,,,,18.0,22.0,14.5,20.0,13.0,29.0,23.0,,,,,,,,,,,,
1,77.0,56.0,38.0,25.0,-20.0,15.0,6.0,34.0,,,,,4.36,1.16,5.25,4.99,0.0,4.68,4.605,5.78,,,,,22.0,19.0,26.0,24.0,11.0,21.0,13.5,18.0,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,81.0,58.0,74.0,67.0,54.0,61.0,65.0,57.0,,,,,7.25,6.35,7.01,6.34,7.03,7.32,7.26,9.06,,,,,24.0,25.0,20.0,15.0,16.0,15.0,18.0,5.0,,,,,,Bị cảnh cáo vì đóng học phí trễ,,,,,
1,100.0,82.0,90.0,83.0,76.0,77.0,85.0,80.0,75.0,70.0,,,6.13,5.19,4.96,6.73,5.83,6.01,4.9,5.21,2.86,1.87,,,24.0,21.0,21.0,16.0,19.0,22.0,12.5,21.0,11.0,11.0,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,79.0,67.0,63.0,29.0,,,,,,,,,2.18,2.06,4.99,2.56,,,,,,,,,17.0,14.0,19.5,21.0,,,,,,,,,,,,,,,
0,90.0,84.0,80.0,85.0,100.0,100.0,,,,,,,8.63,8.47,8.38,9.2,9.2,9.53,,,,,,,20.0,23.0,22.0,22.0,20.0,18.0,,,,,,,True,,,,,,
1,95.0,70.0,66.0,88.0,85.0,90.0,76.0,75.0,,58.0,53.0,,7.64,6.38,7.56,8.23,7.68,7.01,7.95,7.23,,,,,17.0,21.0,26.0,15.0,14.0,19.0,17.0,14.0,,,,,,,,,,,
0,90.0,63.0,20.0,64.0,73.0,83.0,81.0,85.0,,,,,8.03,6.74,,6.65,6.18,7.95,8.29,7.82,,,,,19.0,21.0,,17.0,18.0,14.0,20.0,22.0,,,,,,,,,,,
1,64.0,55.0,57.0,90.0,37.0,76.0,64.0,,63.0,58.0,55.0,65.0,4.8,6.36,6.555,6.61,6.83,7.12,7.06,,,,,,22.0,21.0,16.5,15.0,23.0,18.0,20.0,,,,,,,,,,,,
0,90.0,67.0,68.0,78.0,90.0,80.0,76.0,85.0,,,,,9.44,7.1,7.12,7.48,6.59,6.34,5.525,8.8,,,,,13.0,20.0,27.0,20.0,17.0,17.0,10.0,14.0,,,,,,,,,,,
1,59.0,44.0,71.0,65.0,72.0,33.0,47.0,32.0,63.0,,,,6.5,3.79,4.87,3.34,2.89,3.17,3.945,2.76,3.6750000000000003,,,,22.0,19.0,23.0,19.0,29.0,26.0,18.5,28.0,14.0,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,72.0,62.0,64.0,72.0,76.0,80.0,76.0,75.0,77.0,,58.0,,8.6,6.78,7.42,7.32,6.76,8.32,7.95,7.7,8.6,,,,13.0,15.0,24.0,24.0,18.0,16.0,16.0,12.0,10.0,,,,,,,,,,
1,69.0,69.0,76.0,87.0,100.0,87.0,64.0,30.0,59.0,50.0,,70.0,5.45,6.34,6.305,7.19,8.09,7.68,7.75,0.0,7.1,,,,22.0,22.0,13.0,21.0,11.5,16.0,8.0,10.0,12.0,,,,,Được xem xét hạ mức,Bị cảnh cáo vì đóng học phí trễ,,,,
1,88.0,100.0,100.0,97.0,74.0,100.0,100.0,95.0,,75.0,50.0,50.0,7.62,8.1,7.76,7.89,7.25,7.34,7.01,8.6,,,,,17.0,22.0,27.0,18.0,24.0,18.0,17.0,4.0,,,,,,,,,,,
1,81.0,59.0,46.0,73.0,76.0,85.0,81.0,90.0,81.0,,53.0,,8.03,6.84,7.82,7.89,6.15,4.38,4.81,6.8,7.47,,,,17.0,21.0,22.0,18.0,15.0,17.0,16.0,16.0,24.0,,,,,,,,,,
0,80.0,83.0,90.0,100.0,80.0,85.0,100.0,,,,,,8.45,8.16,8.21,7.71,7.58,8.65,8.39,,,,,,17.0,19.0,24.0,24.0,16.0,16.0,15.0,,,,,,True,,,,,,
0,75.0,71.0,22.0,55.0,69.0,58.0,70.0,70.0,80.0,75.0,,,4.86,6.7,5.41,6.44,6.29,5.18,5.74,6.91,6.6899999999999995,7.5,,,22.0,15.0,23.0,20.0,28.0,20.0,20.0,14.0,7.0,2.0,,,,,,,,,
0,76.0,68.0,66.0,72.0,80.0,80.0,65.0,,50.0,,,,7.11,6.08,7.56,7.17,8.78,7.8,7.71,,,,,,17.0,19.0,22.0,22.0,20.0,20.0,18.0,,,,,,,,,,,,
0,94.0,79.0,72.0,86.0,90.0,90.0,90.0,,,,,,8.38,7.6,7.7,7.75,8.24,8.36,8.63,,,,,,19.0,17.0,25.0,15.0,20.0,20.0,15.0,,,,,,,,,,,,
0,100.0,97.0,100.0,95.0,93.0,90.0,66.0,75.0,,,,,8.83,7.21,8.445,8.46,8.44,8.5,8.45,8.48,,,,,18.0,19.0,14.5,17.0,14.0,15.0,18.0,8.0,,,,,,,,,,,
1,85.0,63.0,86.0,,45.0,,,,,,,,6.71,3.24,5.0,,,,,,,,,,17.0,18.0,21.0,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,90.0,90.0,99.0,76.0,71.0,78.0,76.0,75.0,,70.0,,,7.29,8.36,8.32,7.25,7.13,7.31,8.11,8.75,,,,,17.0,22.0,28.0,17.0,20.0,15.0,17.0,10.0,,,,,,,,,,,
1,76.0,69.0,80.0,62.0,42.0,68.0,65.0,75.0,65.0,,,,5.69,4.48,6.605,1.97,4.5,2.67,3.2,3.89,0.4,,,,13.0,17.0,13.5,23.0,16.0,21.0,11.0,18.0,15.0,,,,,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB 2 học kỳ liên tiếp < 4,,,,
1,84.0,49.0,41.0,67.0,50.0,40.0,71.0,48.0,60.0,,50.0,,5.38,4.58,5.81,5.38,4.62,4.1,0.11,0.31,3.06,,,,17.0,25.0,19.0,17.0,15.0,21.0,16.0,16.0,10.0,,,,,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,,,
0,87.0,90.0,75.0,75.0,69.0,77.0,64.0,,,,,,4.95,6.71,6.575,6.47,6.359999999999999,8.38,7.390000000000001,,,,,,22.0,19.0,17.5,22.0,14.0,14.0,10.0,,,,,,,,,,,,
0,69.0,39.0,66.0,36.0,59.0,49.0,68.0,68.0,60.0,,,,6.4,4.23,6.15,4.69,5.04,6.03,6.824999999999999,6.94,4.785,,,,24.0,24.0,15.0,17.0,14.0,23.0,15.5,22.0,5.5,,,,,Bị cảnh cáo vì đóng học phí trễ,,,,,
